epoch,lr,train_loss,train_reward_accuracy,train_reward_margin,train_implicit_kl,val_loss,val_reward_accuracy,val_reward_margin,val_implicit_kl,train_batches,train_pairs,val_batches,val_pairs,train_skipped,val_skipped
1.0,1e-05,0.6928293941968895,,,,0.692478830164129,0.652058934642992,0.0013721235854331055,0.02633637737047911,83.0,0.0,11.0,2647.0,0.0,0.0
2.0,1e-05,0.6921475680477648,,,,0.6916286728598855,0.7283717415942577,0.0030745484902286626,-0.03343147649646121,83.0,0.0,11.0,2647.0,0.0,0.0
3.0,1e-05,0.6884802450616676,,,,0.6759766665371981,0.791839818662637,0.03562031820614623,-2.0297980256291392,83.0,0.0,11.0,2647.0,0.0,0.0
4.0,1e-05,0.6335807191320213,,,,0.5982109416614879,0.8024178315073668,0.23635553300300552,-5.956315886897774,83.0,0.0,11.0,2647.0,0.0,0.0
5.0,1e-05,0.5845588969897075,,,,0.5660300850868225,0.803551190026445,0.333872956826183,-8.035148567283294,83.0,0.0,11.0,2647.0,0.0,0.0
6.0,1e-05,0.5595452045819845,,,,0.5444615483283997,0.8107291273139403,0.40079076378016937,-8.923752511272712,83.0,0.0,11.0,2647.0,0.0,0.0
7.0,1e-05,0.5426214093185333,,,,0.5297797647389498,0.8182848507744617,0.4454911802113103,-8.72278572633035,83.0,0.0,11.0,2647.0,0.0,0.0
8.0,1e-05,0.5326285426875195,,,,0.5223063447258689,0.8216849263316962,0.4648574620593517,-7.88876239011366,83.0,0.0,11.0,2647.0,0.0,0.0
9.0,1e-05,0.5237279512796057,,,,0.514130638404326,0.8228182848507745,0.4910313897063746,-7.788209087226271,83.0,0.0,11.0,2647.0,0.0,0.0
10.0,1e-05,0.5176394650016922,,,,0.5087222971699454,0.8247072157159048,0.508968872464706,-7.7662004947121925,83.0,0.0,11.0,2647.0,0.0,0.0
11.0,1e-05,0.5139230654900333,,,,0.5049771856177937,0.8265961465810351,0.5228980477140159,-7.813010190899615,83.0,0.0,11.0,2647.0,0.0,0.0
12.0,1e-05,0.5103660057108086,,,,0.5015136735005812,0.831507366830374,0.5339328914234802,-7.842922238075017,83.0,0.0,11.0,2647.0,0.0,0.0
13.0,1e-05,0.5086060906031046,,,,0.49943640015342017,0.8322629391764261,0.5405443717638594,-7.834605960247874,83.0,0.0,11.0,2647.0,0.0,0.0
14.0,1e-05,0.5067967560635992,,,,0.4985359311103821,0.8273517189270873,0.5442126650486214,-8.007059835874228,83.0,0.0,11.0,2647.0,0.0,0.0
15.0,1e-05,0.5054113502243915,,,,0.4971337372606451,0.8349074423876086,0.5487099022703984,-7.953744380303856,83.0,0.0,11.0,2647.0,0.0,0.0
16.0,1e-05,0.5044950013419232,,,,0.4958433779803189,0.8330185115224783,0.5535598186236071,-7.980963552407963,83.0,0.0,11.0,2647.0,0.0,0.0
17.0,1e-05,0.5031493309750614,,,,0.4942182112823833,0.8364185870797128,0.5584839868185437,-8.001296501318194,83.0,0.0,11.0,2647.0,0.0,0.0
18.0,1e-05,0.5024698426924556,,,,0.49488838423382153,0.8326407253494522,0.5574383992400299,-7.957625573204741,83.0,0.0,11.0,2647.0,0.0,0.0
19.0,1e-05,0.5019686699631702,,,,0.49355383623730054,0.8356630147336608,0.5598713575794827,-7.97974082015801,83.0,0.0,11.0,2647.0,0.0,0.0
20.0,1e-05,0.5016614080193531,,,,0.49363269860094244,0.8345296562145825,0.5603170980648731,-8.031234416954463,83.0,0.0,11.0,2647.0,0.0,0.0
21.0,1e-05,0.5015232405030584,,,,0.4935841045596383,0.8379297317718172,0.5610551094920319,-7.946306075156298,83.0,0.0,11.0,2647.0,0.0,0.0
22.0,1e-05,0.5012141498456518,,,,0.4932566664435647,0.8273517189270873,0.5613689202464778,-7.986377744887251,83.0,0.0,11.0,2647.0,0.0,0.0
23.0,1e-05,0.5009081816098776,,,,0.49239427664063196,0.8352852285606347,0.5645072088305007,-7.990752190970726,83.0,0.0,11.0,2647.0,0.0,0.0
24.0,1e-05,0.5006423413035381,,,,0.49236414107409393,0.8390630902908953,0.5643563188340375,-7.957574943078433,83.0,0.0,11.0,2647.0,0.0,0.0
25.0,1e-05,0.500435431319547,,,,0.4917516681281003,0.8386853041178692,0.5656239691065115,-7.9875848018587154,83.0,0.0,11.0,2647.0,0.0,0.0
